Day,Max (2003-2025),Average (2003-2025),Min (2003-2025),Year 2025
07 Jan,0.29,0.08,0.00,0.07
14 Jan,0.36,0.09,0.01,0.01
21 Jan,0.18,0.06,0.00,0.18
28 Jan,0.46,0.10,0.00,0.01
04 Feb,0.36,0.12,0.00,0.03
11 Feb,0.63,0.15,0.00,0.01
18 Feb,0.75,0.18,0.01,0.06
25 Feb,0.79,0.18,0.00,0.15
04 Mar,2.46,0.28,0.01,0.05
11 Mar,1.08,0.23,0.01,0.05
18 Mar,1.22,0.36,0.01,0.01
25 Mar,1.88,0.38,0.00,0.05
01 Apr,3.68,0.50,0.01,0.19
08 Apr,0.74,0.21,0.02,0.09
15 Apr,0.77,0.24,0.01,0.09
22 Apr,1.98,0.21,0.00,0.04
29 Apr,0.53,0.16,0.01,0.18
06 May,0.37,0.10,0.01,0.17
13 May,0.32,0.07,0.01,0.03
20 May,3.23,0.34,0.02,0.02
27 May,1.35,0.21,0.01,0.06
03 Jun,0.27,0.09,0.01,0.09
10 Jun,0.79,0.14,0.02,0.03
17 Jun,2.86,0.28,0.01,0.15
24 Jun,1.97,0.29,0.05,0.18
01 Jul,6.23,0.53,0.01,0.09
08 Jul,1.93,0.35,0.02,0.57
15 Jul,6.39,0.65,0.04,0.14
22 Jul,15.65,1.34,0.09,1.29
29 Jul,3.55,0.87,0.09,1.54
05 Aug,5.53,1.16,0.06,1.54
12 Aug,29.01,2.38,0.03,7.83
19 Aug,49.79,3.53,0.06,49.79
26 Aug,5.80,0.98,0.08,4.62
02 Sep,3.20,0.78,0.06,0.36
09 Sep,1.49,0.55,0.08,0.20
16 Sep,2.26,0.59,0.14,0.24
23 Sep,1.77,0.50,0.01,1.77
30 Sep,2.82,0.39,0.03,0.76
07 Oct,1.59,0.29,0.02,0.08
14 Oct,2.55,0.37,0.02,0.09
21 Oct,11.03,0.89,0.00,0.23
28 Oct,0.53,0.13,0.02,0.10
04 Nov,0.33,0.10,0.03,0.08
11 Nov,0.48,0.07,0.01,0.09
18 Nov,0.41,0.10,0.01,0.10
25 Nov,0.14,0.05,0.00,0.01
02 Dec,0.20,0.04,0.00,0.05
09 Dec,0.16,0.04,0.00,0.00
16 Dec,0.12,0.05,0.00,0.00
23 Dec,1.39,0.13,0.00,0.00
30 Dec,0.50,0.09,0.00,0.00