Day,Max (2012-2025),Average (2012-2025),Min (2012-2025),Year 2025
07 Jan,27,5.71,0,0
14 Jan,18,3.57,0,3
21 Jan,5,1.43,0,4
28 Jan,10,2.36,0,2
04 Feb,31,4.79,0,0
11 Feb,18,3.86,0,2
18 Feb,51,7.93,0,3
25 Feb,33,10.00,0,4
04 Mar,68,11.21,0,0
11 Mar,54,13.29,1,4
18 Mar,61,15.21,0,1
25 Mar,24,7.21,0,5
01 Apr,139,25.43,0,12
08 Apr,25,8.86,2,10
15 Apr,54,8.79,0,8
22 Apr,55,9.00,0,1
29 Apr,27,4.21,0,3
06 May,7,2.14,0,1
13 May,11,3.14,0,0
20 May,11,3.21,0,2
27 May,7,2.79,0,2
03 Jun,11,2.21,0,1
10 Jun,8,3.00,0,8
17 Jun,23,4.29,0,6
24 Jun,26,4.79,0,6
01 Jul,16,5.86,0,3
08 Jul,22,7.29,1,15
15 Jul,34,8.93,3,5
22 Jul,45,11.14,2,19
29 Jul,31,10.21,2,10
05 Aug,15,8.93,2,13
12 Aug,42,14.64,3,42
19 Aug,89,15.71,2,89
26 Aug,26,11.71,1,18
02 Sep,23,11.07,4,9
09 Sep,43,11.64,0,4
16 Sep,25,9.14,0,8
23 Sep,17,7.64,0,16
30 Sep,21,7.79,1,17
07 Oct,33,9.36,1,15
14 Oct,54,11.57,1,12
21 Oct,38,9.21,0,14
28 Oct,33,9.07,0,10
04 Nov,31,6.79,0,2
11 Nov,12,2.50,0,3
18 Nov,15,5.07,0,7
25 Nov,6,2.14,0,2
02 Dec,7,2.07,0,0
09 Dec,14,2.14,0,3
16 Dec,5,1.14,0,0
23 Dec,47,4.43,0,0
30 Dec,22,3.93,0,0